source_id,text,label,label_encoded
13,"ময়মনসিংহের গৌরীপুর উপজেলায় গতকাল রোববার ট্রেনে কাটা পড়ে মতি মিয়া (৪৫) নামের এক ব্যক্তি নিহত হয়েছেন। মতি মিয়া পৌর শহরের পূর্ব দাপুনিয়া গ্রামের বাসিন্দা ছিলেন। প্রত্যক্ষদর্শী, এলাকার অনেক ও রেলওয়ে পুলিশ সূত্রে জানা গেছে, বেলা আনুমানিক একটার দিকে পূর্ব দাপুনিয়া গ্রামের ময়মনসিংহ-ভৈরব রেললাইনের ওপর বসে ছিলেন মতি৷ এ সময় গৌরীপুর স্টেশন থেকে ভৈরবের দিকে ছেড়ে যাওয়া ২৪২ নম্বর লোকাল ট্রেনটি তাঁকে চাপা দেয়৷ ঘটনাস্থলেই তিনি মারা যান৷ এলাকার অনেকে আরও জানান, মতি সম্ভবত রেললাইনে বসা থাকা অবস্থায় ঘুমিয়ে পড়েছিলেন৷ এ কারণে তিনি দুর্ঘটনার শিকার হন৷ ময়মনসিংহ রেলওয়ে থানার ভারপ্রাপ্ত কর্মকর্তা (ওসি) আবদুস সাত্তার প্রথম আলোকে জানান, ঘটনাস্থল রেলওয়ের কিশোরগঞ্জ থানার অধীন৷ তাই কিশোরগঞ্জ রেলওয়ে থানার পুলিশ লাশ নিয়ে গেছে।",Human,0
15,"চট্টগ্রাম নগরের বাকলিয়ার সৈয়দ শাহ রোডে এলাকায় পুকুরে ডুবে মো. শাকিল নামের ছয় বছরের এক শিশু মারা গেছে। গতকাল শুক্রবার দুপুরে এ দুর্ঘটনা ঘটে। শাকিলের বাবার নাম মো. সেলিম। বাকলিয়া সৈয়দ শাহ রোডে শিশুটি পরিবারের সঙ্গে থাকত। চট্টগ্রাম মেডিকেল কলেজ হাসপাতালের পুলিশ ফাঁড়ির কর্তব্যরত কনস্টেবল পঙ্কজ বড়ুয়া জানান, খেলতে গিয়ে শিশুটি বাড়ির পাশের পুকুরে পড়ে যায়।",Human,0
16,"ঝিনাইদহের কোটচাঁদপুরে ৫০ বিঘা জমির পানবরজ আগুনে পুড়ে গেছে। গত বৃহস্পতিবার বিকেলে উপজেলার জালালপুর গ্রামে এ ঘটনা ঘটে। বেলা সাড়ে তিনটার দিকে জালালপুর গ্রামের শতদল রায়ের বরজ থেকে আগুনের সূত্রপাত হয়। আধা ঘণ্টার ব্যবধানে ৩০-৩৫ জন কৃষকের ৫০ বিঘা জমির বরজ ছাই হয়ে যায়। পানের বরজের পাশাপাশি আগুনে মাঠের শতাধিক মেহগনিগাছ, অর্ধশত খেজুরগাছ, কয়েকটি কলা ও কাঁঠালগাছও পুড়ে গেছে।",Human,0
21,"বাগেরহাটের মোরেলগঞ্জে বজ্রপাতে স্কুলছাত্রসহ দুজনের মৃত্যু হয়েছে। গতকাল বৃহস্পতিবার সন্ধ্যায় উপজেলার বলইবুনিয়া ও রাজৈর গ্রামে এ ঘটনা ঘটে৷ তাঁরা হলেন উপজেলার হোগলাপাশা ইউনিয়নের বলইবুনিয়া মাধ্যমিক বিদ্যালয়ের সপ্তম শ্রেণীর ছাত্র ইয়াছিন শেখ ও বলইবুনিয়া ইউনিয়নের রাজৈর গ্রামের মনির খান (৩০)। ইউএনও মো. আবদুল হালিম রাত সাড়ে আটটায় জানান, সন্ধ্যায় আকস্মিক েঝাড়ো হাওয়ার সঙ্গে বৃষ্টি ও বজ্রপাত হয়। এতে স্কুলছাত্রসহ দুজনের মৃত্যু হয়েছে। এ সময় তাঁরা দুজন বাড়ির বাইরে ছিলেন। সংশ্লিষ্ট ইউনিয়নের চেয়ারম্যানরা এ দুজনের মৃত্যুসংবাদ নিশ্চিত করতে পারলেও বিস্তারিত কিছু জানাতে পারেননি।",Human,0
24,পিরোজপুরের নাজিরপুর উপজেলার শ্রীরামকািঠ বন্দরে গতকাল সোমবার ভোরে অগ্নিকাণ্ডে ১০টি ব্যবসাপ্রতিষ্ঠান পুড়ে গেছে। ভোর চারটার দিকে শ্রীরামকািঠ নতুন সেতুসংলগ্ন জমির মল্লিকের মুদি দোকানে বৈদ্যুতিক শর্টসার্কিট থেকে আগুনের সূত্রপাত হয়। মুহূর্তের মধ্যে আগুন চারদিকে ছড়িয়ে পড়লে ১০টি দোকান ভস্মীভূত হয়।,Human,0
25,"সুনামগঞ্জে গতকাল সোমবার সকালে বজ্রপাতে মা-ছেলেসহ তিনজনের মৃত্যু হয়েছে। তাঁদের মধ্যে দুজন বিশ্বম্ভরপুর উপজেলায় এবং একজন দোয়ারাবাজার উপজেলায় মারা যান। এলাকার অনেকে ও পুলিশ সূত্রে জানা গেছে, বিশ্বম্ভরপুর উপজেলার সলুকাবাদ ইউনিয়নের আমড়াগড়া গ্রামের বাড়ির আিঙনায় দুই বছর বয়সী ছেলে আরমানকে নিয়ে কাজ করছিলেন পারভিন বেগম (২২)। সকাল সাড়ে আটটার দিকে আকস্মিক বজ্রপাতে ঘটনাস্থলেই মা-ছেলের মৃত্যু হয়। একই সময় দোয়ারাবাজার উপজেলার লক্ষ্মীপুর ইউনিয়নের লক্ষ্মীপুর গ্রামে বজ্রপাতে নাজমা বেগম (৩০) নামের আরেক নারী প্রাণ হারান। বিশ্বম্ভরপুর থানার ভারপ্রাপ্ত কর্মকর্তা (ওসি) নূরুল আবছার খান ও দোয়ারাবাজার থানার ভারপ্রাপ্ত কর্মকর্তা (ওসি) সেলিম নেওয়াজ বজ্রপাতে ওই তিনজনের মৃত্যুর সত্যতা নিশ্চিত করেছেন।",Human,0
26,"সংযুক্ত আরব আমিরাতের দুবাইয়ে গতকাল শনিবার বাস ও ট্রাকের সংঘর্ষে চার বাংলাদেশিসহ ১৫ জন শ্রমিক নিহত হয়েছেন। বাকি ১১ জন ভারতীয় বলে জানা গেছে। দুবাইয়ে নিযুক্ত বাংলাদেশের ফার্স্ট সেক্রেটারি (শ্রম) এ কে এম মিজানুর রহমান চার বাংলাদেশি নিহত হওয়ার খবর প্রথম আলোকে জানান। নিহত ব্যক্তিরা হলেন চট্টগ্রামের সীতাকুণ্ডের বজলুর হাসান, চাঁদপুরের আলমগীর ও মাছুম আলী এবং সিলেটর জৈন্তাপুরের নজরুল ইসলাম।",Human,0
27,"ফরিদপুর সদরের চরমাধবদিয়া ইউনিয়নের ইসলামপুর বাজার এলাকায় গত শুক্রবার সেতু ভেঙে খালে পড়ে ১৫ জন আহত হয়েছেন৷ সেতু ভেঙে পড়ায় দুটি গ্রামের তিন সহস্রাধিক মানুষকে ভোগান্তি পোহাতে হচ্ছে৷ আহত ব্যক্তিদের মধ্যে ইসলামপুর গ্রামের বুড়ি বেগমকে (৩৫) ফরিদপুর সদর হাসপাতালে ভর্তি করা হয়েছে৷ এলাকাবাসী জানান, ইসলামপুর গ্রামের বাসিন্দা মজিদ খানের ছেলে শামীম খান সম্প্রতি একই ইউনিয়নের সজনীরায়েরডাঙ্গি গ্রামের তালতলা লেকপাড় এলাকায় বিয়ে করেন৷ শুক্রবার তিনি শ্বশুরবাড়ি থেকে কনেসহ তাঁর স্বজনদের নিয়ে ফিরছিলেন। পথে ইসলামপুর বাজার এলাকার বাঁশের সাঁকো পার হওয়ার সময় মাঝ বরাবর ভেঙে সেতুটি ৪০ ফুট নিচে খালে পড়ে যায়। এতে অন্তত ৫০ জন খালে পড়ে আহত হন৷ তবে সেতুর শেষ প্রান্তে থাকায় বর ও কনে এ দুর্ঘটনার হাত থেকে রক্ষা পান। চরমাধবদিয়া ইউিনয়ন পরিষদের চেয়ারম্যান তুহিন মণ্ডল বলেন, বাঁশের সাঁকোটি ভেঙে পড়ায় ওই এলাকার দিরাজ তালুকদারেরর ডাঙ্গি ও হাজি সাবের খাঁর ডাঙ্গি গ্রামের তিন সহস্রাধিক মানুষ ভোগান্তি পোহাচ্ছেন।",Human,0
28,"সংযুক্ত আরব আমিরাতের দুবাইয়ে আজ শনিবার বাস ও ট্রাকের সংঘর্ষে চার বাংলাদেশিসহ ১৫ জন শ্রমিক নিহত হয়েছেন। বাকি ১১ জন ভারতীয় বলে জানা গেছে। দুবাইয়ে নিযুক্ত বাংলাদেশের ফার্স্ট সেক্রেটারি (শ্রম) এ কে এম মিজানুর রহমান চার বাংলাদেশি নিহতের খবর প্রথম জানান। নিহত ব্যক্তিরা হলেন চট্টগ্রামের সীতাকুণ্ডের বদরুল হাসান, চাঁদপুরের আলমগীর ও মাছুম ঢালী এবং সিলেটের জৈন্তাপুরের নজরুল ইসলাম। মিজানুর রহমান বলেন, ক্যাম্প থেকে তাঁরা সবাই বাসে করে কর্মস্থলে যাচ্ছিলেন। বাসটিতে ২৯ জন যাত্রী ছিলেন। পথে ট্রাকের সঙ্গে মুখোমুখি সংঘর্ষ হলে তাঁরা নিহত হন। আহত লোকজনকে হাসপাতালে ভর্তি করা হয়েছে। আহত ১৪ জনের মধ্যে নয়জন বাংলাদেশি। তাঁদের মধ্যে পাঁচজনকে প্রাথমিক চিকিত্সা দিয়ে ছেড়ে দেওয়া হয়েছে। হতাহতরা সবাই দুবাইয়ে ভারতীয় মালিকানাধীন ব্রাভো টেকনিক্যাল কন্সট্রাকশন কোম্পানিতে কর্মরত ছিলেন। বাস ও ট্রাকের দুজন চালকই পাকিস্তানের।",Human,0
30,"নেত্রকোনার পূর্বধলার বড় ইলাশপুর গ্রামে গতকাল বুধবার নদীতে ডুবে তিন শিশুর মৃত্যু হয়েছে। এরা হচ্ছে, আজিজুল ইসলামের ছেলে মাজহারুল (৫), সিরাজুল ইসলামের মেয়ে কণিকা (৫) ও শামছুর রহমানের মেয়ে সুমনা (৫)। দুপুরে ওই তিন শিশু ধলাই নদে গোসল করতে যায়। একটি শিশু গভীরে গিয়ে হাবুডুবু খেতে থাকলে অন্য দুই শিশু তাকে বাঁচাতে এগিয়ে যায়। একপর্যায়ে তিন শিশুই পানিতে ডুবে মারা যায়।  নেত্রকোনা প্রতিনিধি।",Human,0
32,"আজ বুধবার বেলা সাড়ে তিনটার দিকে এ দুর্ঘটনা ঘটে। নিহত আমজাদ ওই কারখানার কাটার সহকারী হিসেবে কাজ করছিলেন। তাঁর বাড়ি বাগেরহাটে বলে জানা গেছে। গোল্ডেন আয়রন সাংসদ দিদারুল আলমের গ্রুপ অব কোম্পানি তাহের অ্যান্ড ব্রাদার্সের একটি প্রতিষ্ঠান। স্থানীয় লোকজন ও পুলিশ সূত্রে জানা যায়, বিকেলে উপজেলার সোনাইছড়ি ইউনিয়নের সাইনবোর্ড এলাকার সাগরপাড়ে ওই কারখানাটির পুরোনো জাহাজের ডেকের হলকার অংশে কাটিং করছিলেন আমজাদ। হঠাত্ ঢাকনাসহ খুলে জাহাজের তলায় পড়ে যান তিনি। এতে ঘটনাস্থলে তাঁর মৃত্যু হয়। সীতাকুণ্ড থানার পরিদর্শক (তদন্ত) আমিনুল ইসলাম প্রথম আলোকে বলেন, কাজ করার সময় মাথা ঘুরে পড়ে আমজাদ নিহত হন। উল্লেখ্য, গতকাল মঙ্গলবার পেনিনসুলা নামের অপর একটি জাহাজভাঙা কারখানায় দুর্ঘটনায় তিন শ্রমিক দগ্ধ হন।",Human,0
33,"নারায়ণগঞ্জের রূপগঞ্জ উপজেলায় ট্রাকচাপায় মোটরসাইকেল আরোহী ছাত্রদলের এক নেতা নিহত ও একজন আহত হয়েছেন। গতকাল সোমবার বেলা দেড়টার দিকে উপজেলার ত্রিশকাহনিয়া এলাকায় এ ঘটনা ঘটে। ক্ষুব্ধ জনতা মালবাহী ট্রাকটি আটকের পর ভাঙচুর করে এবং কাঞ্চন-রূপসী সড়ক আধা ঘণ্টা অবরোধ করে রাখে। পরে পুলিশ গিয়ে পরিস্থিতি নিয়ন্ত্রণে আনে। নিহত হাবিবুর রহমান (২৮) কাঞ্চন পৌর ছাত্রদলের সাবেক সহসভাপতি। তিনি উপজেলার চরপাড়া এলাকার ব্যবসায়ী আবদুল আজিজের ছেলে। রূপগঞ্জ থানার ওসি আসাদুজ্জামান মীর জানান, হাবিবুর ও আজাদুর রহমান মাস্টার মোটরসাইকেলে করে কাঞ্চন থেকে মুড়াপাড়ায় যাচ্ছিলেন। দুর্ঘটনার পরপর চালক ট্রাক রেখে পালিয়ে যান। ট্রাকটি জব্দ করা হয়েছে। এ ঘটনায় থানায় মামলা হয়েছে।",Human,0
34,"পটুয়াখালীর গলাচিপা উপজেলায় যাত্রীবাহী লঞ্চডুবির ঘটনায় অহিদ নামের তিন বছরের এক শিশুর লাশ উদ্ধার করা হয়েছে। গতকাল সোমবার বেলা ১১টার দিকে পটুয়াখালীর ভূরিয়া লঞ্চঘাটের কাছাকাছি লোহালিয়া নদী থেকে স্থানীয় লোকজন লাশটি উদ্ধার করে। লঞ্চডুবির ঘটনায় গতকাল সন্ধ্যা পর্যন্ত ১৬ জনের লাশ উদ্ধার হলো। নিখোঁজ আছেন দুই যাত্রী। গত শনিবার গলাচিপার কলাগাছিয়া এলাকায় গলাচিপা নদীতে কালবৈশাখীর কবলে পড়ে এমভি শাথিল-১ নামের যাত্রীবাহী লঞ্চ ডুবে যায়। গত রোববার রাত পৌনে নয়টার দিকে উদ্ধারকারী জাহাজ হামজা লঞ্চটিকে টেনে তোলে। শিশু অহিদের বাবা পটুয়াখালীর কমলাপুর ইউনিয়নের চরমৈসাদি গ্রামের মোস্তফা ফকির ছেলের লাশ শনাক্ত করেন। রোববার অহিদের মা অহিদা বেগমের (২৫) লাশ উদ্ধার হয়। গলাচিপা উপজেলা প্রকল্প বাস্তবায়ন কর্মকর্তা আমিরুল ইসলাম লাশ উদ্ধারের বিষয়টি নিশ্চিত করে জানান, এখনো দুই যাত্রী নিখোঁজ আছেন।",Human,0
